artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ariana Grande,intro (end of the world),2o1pb13quMReXZqE7jWsgq,81,66CXWjxzNUsdJxJ2JdwvnR,93,['pop'],101241265,0.506,0.362,-9.48,0.0416,0.67,0.0,0.176,0.385,84.726,92400,4
YENA,It was love,4KghHyz30N5eV3GwvXQNua,50,49muoiIu4uea4PO8vueUNN,60,[],679691,0.463,0.921,-3.061,0.0928,0.106,0.0,0.146,0.713,164.916,180240,4
Damare Oficial,Pa lante,0n2qDs2zpfyFAs5FNuBp8G,47,4gUa2SROpnuTUAMzfBB3eu,33,[],134,0.732,0.7,-5.097,0.257,0.82,0.0822,0.0855,0.643,69.894,128000,4
MINHO,Came And Left Me,6aRMxIScbnWNUAZifYFPAp,46,08uRwDeNv1d7FSwlOUZdSn,54,['k-pop'],220857,0.774,0.662,-5.35,0.0576,0.094,1.15e-06,0.123,0.561,101.954,183387,4
Hozier,Too Sweet,3HMY0r2BAdpasXMY8rseR0,79,2FXC3k01G6Gw61bmprjgqS,86,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",8080225,0.741,0.62,-5.505,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4
LET ME KNOW,Ai to Highball,122mDqTfKey7EyWmqrAPKU,44,1B4fAs5bODEsdgj2MGmJu3,39,[],22896,0.6,0.866,-4.702,0.0357,0.0442,0.0,0.186,0.783,122.031,261227,4
Y-LO,My Text,1km7wTWsS430l57Vp7V7xw,34,6wgia3IsYr7B5RctDJKjFF,34,[],449,0.774,0.45,-10.505,0.0486,0.0484,0.646,0.109,0.957,182.035,106155,4
OFFICIAL HIGE DANDISM,MIXED NUTS,2V7l0ns6AahvMd0dkYrm93,53,5Vo1hnCRmCM6M4thZCInCj,73,"['anime', 'anime rock', 'j-pop']",6812479,0.342,0.91,-4.883,0.131,0.00612,0.0,0.281,0.824,149.965,211348,4
GroovyRoom,FASHO,3CcOvobFZW42wJBh5oXd7Q,46,29HqjVbJr3vsc2l6BTI4eB,53,"['k-rap', 'korean r&b']",162098,0.786,0.804,-3.633,0.0536,0.278,0.0,0.136,0.456,122.977,423867,4
Linkin Park,Cut the Bridge,5mFZipkX1HZ4Idz5LOWpzq,80,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.622,0.936,-2.72,0.067,0.0212,3.09e-06,0.242,0.743,75.024,228607,4
fromis_9,Beat the Heat,4svequXK79GDI3cXJ8es4S,47,24nUVBIlCGi4twz4nYxJum,63,"['k-pop', 'k-pop girl group']",1358593,0.697,0.807,-2.919,0.162,0.187,0.0,0.128,0.737,119.056,174707,4
HYUKOH,Young Man,0VrZodRby4IfK3rZIxSajI,49,57okaLdCtv3nVBSn5otJkp,57,"['korean indie folk', 'korean r&b']",621622,0.658,0.732,-5.3,0.032,0.0139,0.00147,0.2,0.717,110.99,257286,4
Lee Moon Sae,Love even in goodbyes,4TZ9PFdml5iC50hyZQx5sL,30,2eVlgLy3Aym09gM3dqx6cq,48,"['classic korean pop', 'korean pop']",202988,0.209,0.208,-11.09,0.0334,0.502,0.0,0.339,0.297,176.339,213568,4
