danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.551,0.896,-3.152,0.109,0.033,0.0,0.0899,0.858,171.79,4faFAhOflLzhfJECveRwva,226640,4
0.877,0.885,-4.966,0.17,0.007,0.000497,0.557,0.517,102.507,2bmxx16hNi3W5FGzfFO9xX,196653,4
0.423,0.845,-3.509,0.0559,0.143,5.07e-06,0.213,0.317,116.602,3zwmW1gM4E8FlHXV5nE16u,278973,4
0.84,0.476,-7.918,0.0629,0.0264,0.0,0.0865,0.767,139.987,4EI8VuxUuIHKfafU72emqz,201400,4
0.69,0.928,-2.76,0.061,0.00937,0.0,0.547,0.604,130.889,5MzjQ95rdB2xt9DNa2IzaC,239773,4
0.538,0.884,-3.251,0.031,0.000138,0.0,0.466,0.736,146.511,5vfjUAhefN7IjHbTvVCT4Z,233027,4
0.551,0.583,-6.473,0.159,0.539,0.0,0.365,0.419,107.424,45LrQ3tg1z8plpuQRCuSwE,992160,4
0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,0d28khcov6AiegSCpG5TuT,222640,4
0.672,0.814,-3.768,0.27,0.258,0.0,0.164,0.379,97.043,34KUIBsIUiPV7oCIzSdDAU,233400,4
0.779,0.64,-8.415,0.159,0.000155,0.000766,0.101,0.499,99.017,4TsmezEQVSZNNPv5RJ65Ov,246960,4
0.779,0.64,-8.415,0.159,0.000155,0.000766,0.101,0.499,99.017,4TsmezEQVSZNNPv5RJ65Ov,246960,4
0.551,0.583,-6.473,0.159,0.539,0.0,0.365,0.419,107.424,45LrQ3tg1z8plpuQRCuSwE,992160,4
0.777,0.501,-6.549,0.112,0.193,0.0,0.104,0.844,134.013,6rJQTvhKl5GSEA8SWW7t1X,232840,4
0.571,0.89,-1.6,0.0395,0.00509,0.0,0.0769,0.751,110.958,1JURww012QnWAw0zZXi6Aa,234147,4
0.662,0.785,-5.299,0.186,0.16,0.0,0.0784,0.604,89.885,6tp27J7xy18DQiQXut3GsF,219000,4
0.546,0.814,-5.146,0.0314,0.023,0.0,0.0972,0.146,104.98,3ZffCQKLFLUvYM59XKLbVm,285653,4
0.553,0.752,-5.888,0.0302,0.373,3.2e-05,0.208,0.595,141.67,5wKaxpvqXq95IaoAVPLgoi,290933,3
0.587,0.583,-5.284,0.0313,0.248,0.0,0.124,0.15,139.92,0gJvqi9QyASOCtJu99tytc,219493,4
0.672,0.814,-3.768,0.27,0.258,0.0,0.164,0.379,97.043,34KUIBsIUiPV7oCIzSdDAU,233400,4
0.702,0.719,-3.264,0.0372,0.0296,2.98e-06,0.0914,0.916,128.027,0hfJNGh9nLKhd0RHvpDcUs,179427,4
0.624,0.766,-6.31,0.396,0.00494,0.0,0.107,0.714,91.727,4eihdGG3Tga3oFq4yqCDeL,262640,4
0.95,0.803,-4.195,0.151,0.145,0.0,0.0748,0.86,117.0,4kOTDj4SiZPkW1p96WMDNv,213066,4
0.891,0.439,-7.994,0.428,0.0351,0.0,0.0932,0.622,77.499,2ajhenDRiiAnCHHjsIOHhJ,224253,4
0.621,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.451,0a7BloCiNzLDD9qSQHh5m7,180267,4
0.534,0.671,-5.023,0.195,0.0504,0.0,0.362,0.422,174.292,0NJu93oln1kkgbHLFzLJ4h,192240,4
0.44,0.573,-5.42,0.0365,0.581,0.0,0.0777,0.442,178.192,3SnXIPWciHwAS04oKdPC0l,183547,4
0.726,0.701,-5.881,0.0999,0.0708,0.0,0.262,0.673,146.575,6Y3WvyUG9iE5bQYg38SPtQ,246333,4
0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,4CDIEKHMb2MBgvgHBkhiJD,281320,4
0.574,0.721,-4.312,0.0335,0.0254,0.0,0.0952,0.159,120.033,0x7663BmBYv7m1ejUzXHfd,220800,4
